driver,points,laps
Max Verstappen,8.0,21
Charles Leclerc,7.0,21
Sergio Perez,6.0,21
Carlos Sainz,5.0,21
Lando Norris,4.0,21
Daniel Ricciardo,3.0,21
Valtteri Bottas,2.0,21
Kevin Magnussen,1.0,21
Fernando Alonso,0.0,21
Mick Schumacher,0.0,21
George Russell,0.0,21
Yuki Tsunoda,0.0,21
Sebastian Vettel,0.0,21
Lewis Hamilton,0.0,21
Lance Stroll,0.0,21
Esteban Ocon,0.0,21
Pierre Gasly,0.0,21
Alexander Albon,0.0,21
Nicholas Latifi,0.0,21
Guanyu Zhou,0.0,0
Max Verstappen,8.0,23
Charles Leclerc,7.0,23
Carlos Sainz,6.0,23
George Russell,5.0,23
Sergio Perez,4.0,23
Esteban Ocon,3.0,23
Kevin Magnussen,2.0,23
Lewis Hamilton,1.0,23
Mick Schumacher,0.0,23
Valtteri Bottas,0.0,23
Lando Norris,0.0,23
Daniel Ricciardo,0.0,23
Lance Stroll,0.0,23
Guanyu Zhou,0.0,23
Pierre Gasly,0.0,23
Alexander Albon,0.0,23
Yuki Tsunoda,0.0,23
Nicholas Latifi,0.0,23
Fernando Alonso,0.0,0
George Russell,8.0,24
Carlos Sainz,7.0,24
Lewis Hamilton,6.0,24
Max Verstappen,5.0,24
Sergio Perez,4.0,24
Charles Leclerc,3.0,24
Lando Norris,2.0,24
Kevin Magnussen,1.0,24
Sebastian Vettel,0.0,24
Pierre Gasly,0.0,24
Daniel Ricciardo,0.0,24
Mick Schumacher,0.0,24
Guanyu Zhou,0.0,24
Valtteri Bottas,0.0,24
Yuki Tsunoda,0.0,24
Lance Stroll,0.0,24
Esteban Ocon,0.0,24
Fernando Alonso,0.0,24
Nicholas Latifi,0.0,24
Alexander Albon,0.0,12
