Season,Round,Circuit,Driver,Constructor,Laps,Position,TotalPitStops,AvgPitStopTime,PitStops
2022,2,Jeddah Corniche Circuit,Nicholas Latifi,Williams,14,18,0,0.0,[]
2022,2,Jeddah Corniche Circuit,Yuki Tsunoda,AlphaTauri,0,19,0,0.0,[]
2022,2,Jeddah Corniche Circuit,Mick Schumacher,Haas F1 Team,0,20,0,0.0,[]
2022,3,Albert Park Grand Prix Circuit,Sebastian Vettel,Aston Martin,22,19,0,0.0,[]
2022,3,Albert Park Grand Prix Circuit,Carlos Sainz,Ferrari,1,20,0,0.0,[]
2022,4,Autodromo Enzo e Dino Ferrari,Fernando Alonso,Alpine F1 Team,6,19,0,0.0,[]
2022,4,Autodromo Enzo e Dino Ferrari,Carlos Sainz,Ferrari,0,20,0,0.0,[]
2022,5,Miami International Autodrome,Guanyu Zhou,Alfa Romeo,6,20,0,0.0,[]
2022,7,Circuit de Monaco,Kevin Magnussen,Haas F1 Team,19,20,0,0.0,[]
2022,8,Baku City Circuit,Carlos Sainz,Ferrari,8,20,0,0.0,[]
2022,9,Circuit Gilles Villeneuve,Mick Schumacher,Haas F1 Team,18,19,0,0.0,[]
2022,9,Circuit Gilles Villeneuve,Sergio PÃ©rez,Red Bull,7,20,0,0.0,[]
2022,10,Silverstone Circuit,George Russell,Mercedes,0,18,0,0.0,[]
2022,10,Silverstone Circuit,Guanyu Zhou,Alfa Romeo,0,19,0,0.0,[]
2022,10,Silverstone Circuit,Alexander Albon,Williams,0,20,0,0.0,[]
2022,12,Circuit Paul Ricard,Charles Leclerc,Ferrari,17,19,0,0.0,[]
2022,14,Circuit de Spa-Francorchamps,Valtteri Bottas,Alfa Romeo,1,19,0,0.0,[]
2022,14,Circuit de Spa-Francorchamps,Lewis Hamilton,Mercedes,0,20,0,0.0,[]
2022,16,Autodromo Nazionale di Monza,Fernando Alonso,Alpine F1 Team,31,19,0,0.0,[]
2022,16,Autodromo Nazionale di Monza,Sebastian Vettel,Aston Martin,10,20,0,0.0,[]
2022,17,Marina Bay Street Circuit,Esteban Ocon,Alpine F1 Team,26,16,0,0.0,[]
2022,17,Marina Bay Street Circuit,Alexander Albon,Williams,25,17,0,0.0,[]
2022,17,Marina Bay Street Circuit,Fernando Alonso,Alpine F1 Team,20,18,0,0.0,[]
2022,17,Marina Bay Street Circuit,Nicholas Latifi,Williams,7,19,0,0.0,[]
2022,17,Marina Bay Street Circuit,Guanyu Zhou,Alfa Romeo,6,20,0,0.0,[]
2022,18,Suzuka Circuit,Carlos Sainz,Ferrari,0,19,0,0.0,[]
2022,18,Suzuka Circuit,Alexander Albon,Williams,0,20,0,0.0,[]
2022,19,Circuit of the Americas,Carlos Sainz,Ferrari,1,20,0,0.0,[]
2022,21,AutÃ³dromo JosÃ© Carlos Pace,Kevin Magnussen,Haas F1 Team,0,19,0,0.0,[]
2022,21,AutÃ³dromo JosÃ© Carlos Pace,Daniel Ricciardo,McLaren,0,20,0,0.0,[]
