Race_Round,Driver,Podium_Prob,Predicted_Podium_Position
1,Max Verstappen,1.0,1
1,Charles Leclerc,1.0,2
1,Sergio Perez,1.0,3
2,Max Verstappen,1.0,1
2,Charles Leclerc,1.0,2
2,Sergio Perez,1.0,3
3,Max Verstappen,1.0,1
3,Charles Leclerc,1.0,2
3,Sergio Perez,1.0,3
4,Max Verstappen,1.0,1
4,Charles Leclerc,1.0,2
4,Sergio Perez,1.0,3
5,Max Verstappen,1.0,1
5,Charles Leclerc,1.0,2
5,Sergio Perez,1.0,3
6,Max Verstappen,1.0,1
6,Charles Leclerc,1.0,2
6,Sergio Perez,1.0,3
7,Max Verstappen,1.0,1
7,Charles Leclerc,1.0,2
7,Sergio Perez,1.0,3
8,Max Verstappen,1.0,1
8,Charles Leclerc,1.0,2
8,Sergio Perez,1.0,3
9,Max Verstappen,1.0,1
9,Charles Leclerc,1.0,2
9,Sergio Perez,1.0,3
10,Max Verstappen,1.0,1
10,Charles Leclerc,1.0,2
10,Sergio Perez,1.0,3
11,Max Verstappen,1.0,1
11,Charles Leclerc,1.0,2
11,Sergio Perez,1.0,3
12,Max Verstappen,1.0,1
12,Charles Leclerc,1.0,2
12,Sergio Perez,1.0,3
13,Max Verstappen,1.0,1
13,Charles Leclerc,1.0,2
13,Sergio Perez,1.0,3
14,Max Verstappen,1.0,1
14,Charles Leclerc,1.0,2
14,Sergio Perez,1.0,3
15,Max Verstappen,1.0,1
15,Charles Leclerc,1.0,2
15,Sergio Perez,1.0,3
16,Max Verstappen,1.0,1
16,Charles Leclerc,1.0,2
16,Sergio Perez,1.0,3
17,Max Verstappen,1.0,1
17,Charles Leclerc,1.0,2
17,Sergio Perez,1.0,3
18,Max Verstappen,1.0,1
18,Charles Leclerc,1.0,2
18,Sergio Perez,1.0,3
19,Max Verstappen,1.0,1
19,Charles Leclerc,1.0,2
19,Sergio Perez,1.0,3
20,Max Verstappen,1.0,1
20,Charles Leclerc,1.0,2
20,Sergio Perez,1.0,3
21,Max Verstappen,1.0,1
21,Charles Leclerc,1.0,2
21,Sergio Perez,1.0,3
22,Max Verstappen,1.0,1
22,Charles Leclerc,1.0,2
22,Sergio Perez,1.0,3
